Player,Pos,TRB,AST,PTS
Gary Trent,SG,0.5,0.1,1.5
Anfernee Simons,SG,0.5,0.3,1.6
Patrick McCaw,SG,1,0.7,1.7
Jared Terrell,SG,0.4,0.6,1.9
Alec Burks,SG,1.6,0.7,2
Dzanan Musa,SG,0.5,0.1,2
Sviatoslav Mykhailiuk,SG,0.7,1.3,2
D.J. Stephens,SG,0,0,2
Lonnie Walker,SG,1.1,0.4,2
C.J. Williams,SG,0.4,0.8,2
Dairis Bertans,SG,0.8,0.3,2.2
Courtney Lee,SG,0.7,0.6,2.3
Nick Young,SG,0.3,0.5,2.3
Patrick McCaw,SG,1.6,1,2.5
Jaylen Morris,SG,1.3,1,2.5
Patrick McCaw,SG,1.7,1,2.6
Yuta Watanabe,SG,1.8,0.4,2.6
Khyri Thomas,SG,0.9,0.3,2.7
Deonte Burton,SG,1,0.3,2.9
Jimmer Fredette,SG,1.5,0.5,3
Daniel Hamilton,SG,2.5,1.2,3
Jerome Robinson,SG,1.1,0.3,3
Jordan Sibert,SG,0,0,3
Zhaire Smith,SG,1,0,3
Tyler Dorsey,SG,1.6,0.6,3.3
Courtney Lee,SG,1.4,0.9,3.3
Cameron Reynolds,SG,1.1,0.5,3.4
John Jenkins,SG,0.9,0.5,3.5
Ryan Broekhoff,SG,1.2,0.5,3.6
Grayson Allen,SG,0.3,0.6,3.9
Ben McLemore,SG,0.9,0.2,3.9
Hamidou Diallo,SG,2,0.4,4
John Jenkins,SG,1.1,0.6,4
J.P. Macura,SG,2,2,4
Tahjere McCall,SG,1,0,4
Brandon Sampson,SG,1,0.4,4.1
Iman Shumpert,SG,2.7,1.2,4.1
Garrett Temple,SG,2.3,1.3,4.1
Damion Lee,SG,1.7,0.2,4.2
Bruce Brown,SG,2.5,1.2,4.3
Andrew Harrison,SG,1.5,1.7,4.3
Jordan McRae,SG,1.2,0.5,4.6
Courtney Lee,SG,2.3,1.3,4.7
Tyler Dorsey,SG,2.1,0.9,4.8
Shake Milton,SG,1.5,0.9,4.8
Donte DiVincenzo,SG,2.4,1.1,4.9
Theo Pinson,SG,2.1,1.3,4.9
Treveon Graham,SG,3.1,1,5
Timothe Luwawu-Cabarrot,SG,2.1,0.6,5
Alex Abrines,SG,1.5,0.6,5.3
Sterling Brown,SG,3,1.3,5.4
Ian Clark,SG,1.3,1.4,5.4
Wayne Selden,SG,1.4,1.1,5.4
Jodie Meeks,SG,1.3,0.3,5.7
Nik Stauskas,SG,2.1,0.9,5.7
