Player,Pos,TRB,AST,PTS
Derrick Favors,C,7.5,1.2,11.7
Willie Cauley-Stein,C,8.5,2.5,12.1
Hassan Whiteside,C,11.5,0.8,12.3
Brook Lopez,C,4.8,1.2,12.5
Dwight Howard,C,9.2,0.4,12.8
Jonas Valanciunas,C,7.2,1,12.8
Enes Kanter,C,9.6,1.8,13.1
Myles Turner,C,7,1.6,13.2
Al Horford,C,6.7,4.1,13.3
Kenneth Faried,C,8.7,0.8,13.6
Steven Adams,C,9.5,1.6,13.9
Marc Gasol,C,8,4.4,14
Enes Kanter,C,10.5,1.9,14
Domantas Sabonis,C,9.3,2.8,14.1
Serge Ibaka,C,8,1.4,14.8
Jonas Valanciunas,C,8.2,1.3,15.1
Rudy Gobert,C,12.9,2,15.6
Jusuf Nurkic,C,10.4,3.2,15.6
Marc Gasol,C,8.6,4.7,15.7
DeMarcus Cousins,C,7.9,3.6,15.9
Deandre Ayton,C,10.2,1.8,16.3
Clint Capela,C,12.5,1.4,16.5
Montrezl Harrell,C,6.7,1.9,16.6
Andre Drummond,C,15.4,1.3,17.3
Jonas Valanciunas,C,10.2,2.1,19.3
Nikola Jokic,C,10.8,7.5,20.3
Nikola Vucevic,C,12.1,3.9,20.8
Julius Randle,C,8.6,3.1,21
LaMarcus Aldridge,C,9.1,2.5,21.3
Karl-Anthony Towns,C,12.5,3.3,24.7
Anthony Davis,C,12,3.9,25.9
Joel Embiid,C,13.7,3.4,27.3
